Respondent ID,Start Date,Do you think you will participate in the 2020 presidential primary?,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),Who do you think you will vote for in the 2020 general election?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following potential Democratic primary contenders have you ever heard of?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates would you not be satisfied with in the event they became the Democratic nominee?,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely win an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,Which of the following candidates do you think would likely lose an election against President Donald Trump? Check any that apply.,In what ZIP code is your home located? (enter 5-digit ZIP code; for example 00544 or 94305),Age,Gender,Household Income,Region,Device Type
11400272266,2020-03-07 07:05:34,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,29455,> 60,Male,$100000-$124999,South Atlantic,Windows Desktop / Laptop
11400270220,2020-03-07 07:03:09,Yes I will likely vote in my state's Democratic primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,15216,45-60,Male,$125000-$149999,Middle Atlantic,MacOS Desktop / Laptop
11400269213,2020-03-07 07:02:31,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,3741,45-60,Male,$75000-$99999,New England,iOS Phone / Tablet
11400266770,2020-03-07 06:59:04,I don't know or I'd rather not say,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,14538,> 60,Male,$50000-$74999,Middle Atlantic,Windows Desktop / Laptop
11400250554,2020-03-07 06:44:50,Yes I will likely vote in my state's Democratic primary or caucus,Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,77541,> 60,Male,$75000-$99999,West South Central,Android Phone / Tablet
11400247101,2020-03-07 06:38:52,Yes I will likely vote in my state's Republican primary or caucus,Slightly conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,35215,> 60,Male,$25000-$49999,East South Central,Android Phone / Tablet
11400246172,2020-03-07 06:39:10,Yes I will likely vote in my state's Republican primary or caucus,Very conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,31650,45-60,Male,$75000-$99999,South Atlantic,Android Phone / Tablet
11400243187,2020-03-07 06:38:20,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,33713,> 60,Male,$50000-$74999,South Atlantic,MacOS Desktop / Laptop
11400240708,2020-03-07 06:33:31,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Moderately liberal,No,White or Caucasian,I'm not sure at this time,,,,I have not heard of any of these people,,,,I have not heard of any of these people,,,,I have not heard of any of these people,,,,I have not heard of any of these people,,,,I have not heard of any of these people,6511,> 60,Male,$0-$9999,New England,Android Phone / Tablet
11400233395,2020-03-07 03:20:09,Yes I will likely vote in my state's Democratic primary or caucus,Neither liberal nor conservative,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,93012,> 60,Male,$100000-$124999,Pacific,Android Phone / Tablet
11400230544,2020-03-07 06:27:30,Yes I will likely vote in my state's Republican primary or caucus,Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,6811,> 60,Male,Prefer not to answer,New England,Windows Desktop / Laptop
11400229664,2020-03-07 06:23:02,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,32221,45-60,Male,$50000-$74999,South Atlantic,Android Phone / Tablet
11400229041,2020-03-07 06:25:50,Yes I will likely vote in my state's Republican primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,13827,> 60,Male,Prefer not to answer,Middle Atlantic,Android Phone / Tablet
11400210960,2020-03-07 06:05:05,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,Asian or Asian American,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,,,,,,,95110,45-60,Male,$125000-$149999,Pacific,iOS Phone / Tablet
11400206376,2020-03-07 06:03:34,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,55432,45-60,Male,$100000-$124999,West North Central,iOS Phone / Tablet
11400204465,2020-03-07 06:03:12,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,80907,> 60,Male,$200000+,Mountain,iOS Phone / Tablet
11400204369,2020-03-07 06:02:59,I don't know or I'd rather not say,Moderately conservative,Yes,White or Caucasian,I'm not sure at this time,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,72601,> 60,Male,$10000-$24999,West South Central,Windows Desktop / Laptop
11400196047,2020-03-07 05:54:14,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,,,14580,> 60,Male,$50000-$74999,Middle Atlantic,Windows Desktop / Laptop
11400191109,2020-03-07 05:48:50,Yes I will likely vote in my state's Republican primary or caucus,Very conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,18974,45-60,Male,$75000-$99999,Middle Atlantic,Android Phone / Tablet
11400185087,2020-03-07 05:42:51,Yes I will likely vote in my state's Democratic primary or caucus,Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,7104,> 60,Male,$175000-$199999,Middle Atlantic,Windows Desktop / Laptop
11400184373,2020-03-07 05:41:38,Yes I will likely vote in my state's Republican primary or caucus,Moderately conservative,Yes,Hispanic or Latino,Probably the Republican nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,89081,> 60,Male,$100000-$124999,Mountain,Windows Desktop / Laptop
11400175889,2020-03-07 05:30:47,Yes I will likely vote in my state's Republican primary or caucus,Very liberal,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,29072,45-60,Male,$75000-$99999,South Atlantic,iOS Phone / Tablet
11400167216,2020-03-07 05:23:26,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Neither liberal nor conservative,No,White or Caucasian,Neither / I don't intend to vote.,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,70739,> 60,Male,$25000-$49999,West South Central,iOS Phone / Tablet
11400161547,2020-03-07 05:17:46,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,94930,> 60,Male,$125000-$149999,Pacific,Android Phone / Tablet
11400159919,2020-03-07 05:16:06,Yes I will likely vote in my state's Republican primary or caucus,Very conservative,Yes,American Indian or Alaska Native,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,92342,> 60,Male,$125000-$149999,Pacific,Windows Desktop / Laptop
11400153514,2020-03-07 05:09:09,Yes I will likely vote in my state's Democratic primary or caucus,Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,15909,45-60,Male,$50000-$74999,Middle Atlantic,iOS Phone / Tablet
11400150967,2020-03-07 05:02:56,Yes I will likely vote in my state's Democratic primary or caucus,Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,,,32608,30-44,Male,$10000-$24999,South Atlantic,Android Phone / Tablet
11400149736,2020-03-07 05:04:29,Yes I will likely vote in my state's Democratic primary or caucus,Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,76244,18-29,Male,$25000-$49999,West South Central,iOS Phone / Tablet
11400149729,2020-03-07 05:04:28,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,,,,,,,Sen. Bernie Sanders,,,,,,2038,30-44,Male,$125000-$149999,New England,iOS Phone / Tablet
11400148428,2020-03-07 05:03:00,Yes I will likely vote in my state's Republican primary or caucus,Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,,,,I have not heard of any of these people,,,,I have not heard of any of these people,,,,I have not heard of any of these people,,,,I have not heard of any of these people,,,,,72956,18-29,Male,$200000+,West South Central,iOS Phone / Tablet
11400148279,2020-03-07 04:59:49,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Very conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,99676,30-44,Male,$10000-$24999,Pacific,Android Phone / Tablet
11400147383,2020-03-07 05:01:20,Yes I will likely vote in my state's Democratic primary or caucus,Moderately conservative,Yes,Native Hawaiian or other Pacific Islander,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,11416,18-29,Male,$25000-$49999,Middle Atlantic,Android Phone / Tablet
11400142445,2020-03-07 04:56:40,Yes I will likely vote in my state's Democratic primary or caucus,Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,7002,30-44,Male,$25000-$49999,Middle Atlantic,iOS Phone / Tablet
11400138782,2020-03-07 04:53:04,Yes I will likely vote in my state's Democratic primary or caucus,Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,37770,30-44,Male,$10000-$24999,East South Central,Windows Desktop / Laptop
11400138024,2020-03-07 04:51:43,I don't know or I'd rather not say,I don't know or I'd rather not say,No,White or Caucasian,Neither / I don't intend to vote.,,,,I have not heard of any of these people,,,,I have not heard of any of these people,,,,I have not heard of any of these people,,,,I have not heard of any of these people,,,,I have not heard of any of these people,92677,30-44,Male,Prefer not to answer,Pacific,iOS Phone / Tablet
11400137572,2020-03-07 04:52:13,No I don't currently plan to vote in a major party's 2020 presidential primary or caucus,Slightly conservative,Yes,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,7628,30-44,Male,$25000-$49999,Middle Atlantic,Android Phone / Tablet
11400137453,2020-03-07 04:49:29,Yes I will likely vote in my state's Democratic primary or caucus,Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,48127,18-29,Male,Prefer not to answer,East North Central,Android Phone / Tablet
11400136743,2020-03-07 04:48:45,I don't know or I'd rather not say,Neither liberal nor conservative,Unsure / Don’t know,American Indian or Alaska Native,I'm not sure at this time,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,92025,45-60,Male,$10000-$24999,Pacific,Android Phone / Tablet
11400133437,2020-03-07 04:45:39,Yes I will likely vote in my state's Republican primary or caucus,Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,6896,18-29,Male,$125000-$149999,New England,iOS Phone / Tablet
11400133406,2020-03-07 04:47:20,Yes I will likely vote in my state's Republican primary or caucus,Very conservative,Yes,White or Caucasian,Probably the Republican nominee,,Rep. Tulsi Gabbard,,,,Rep. Tulsi Gabbard,,,,Rep. Tulsi Gabbard,,,,Rep. Tulsi Gabbard,,,,Rep. Tulsi Gabbard,,,39042,30-44,Male,$25000-$49999,East South Central,Android Phone / Tablet
11400131943,2020-03-07 04:46:06,Yes I will likely vote in my state's Democratic primary or caucus,Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,91103,30-44,Male,Prefer not to answer,Pacific,Other
11400131609,2020-03-07 04:41:17,Yes I will likely vote in my state's Democratic primary or caucus,Very liberal,Yes,Hispanic or Latino,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,95111,30-44,Male,$175000-$199999,Pacific,iOS Phone / Tablet
11400129989,2020-03-07 04:43:03,Yes I will likely vote in my state's Democratic primary or caucus,Very conservative,Yes,Black or African American,Probably the Democratic nominee,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,Fmr. V.P. Joe Biden,,,,94513,30-44,Male,$75000-$99999,Pacific,Android Phone / Tablet
11400129603,2020-03-07 04:41:39,Yes I will likely vote in my state's Republican primary or caucus,Slightly conservative,No,White or Caucasian,Probably the Republican nominee,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,,,Sen. Bernie Sanders,,,Rep. Tulsi Gabbard,,,,,,,Fmr. V.P. Joe Biden,Rep. Tulsi Gabbard,Sen. Bernie Sanders,,28432,30-44,Male,$0-$9999,South Atlantic,iOS Phone / Tablet
11400128814,2020-03-07 04:39:44,Yes I will likely vote in my state's Republican primary or caucus,Very conservative,Yes,American Indian or Alaska Native,Probably the Republican nominee,Fmr. V.P. Joe Biden,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,Fmr. V.P. Joe Biden,,,,,,Sen. Bernie Sanders,,32816,45-60,Male,$75000-$99999,South Atlantic,iOS Phone / Tablet
